职业,数学技能,编程能力,创造力,分析能力,沟通能力,领导能力,商业头脑,解决问题,团队协作,适应能力
后端开发工程师,0.6,0.95,-0.1,0.8,0.5,0.4,0.3,0.9,0.8,0.8
前端开发工程师,0.4,0.9,0.7,0.7,0.6,0.3,0.4,0.8,0.9,0.9
全栈开发工程师,0.5,0.95,0.6,0.8,0.6,0.5,0.5,0.9,0.9,0.9
移动应用开发者(iOS/Android),0.4,0.9,0.6,0.7,0.6,0.3,0.5,0.85,0.8,0.9
DevOps工程师,0.5,0.8,0.1,0.8,0.7,0.5,0.5,0.95,0.8,0.95
软件测试开发工程师(SDET),0.4,0.8,-0.2,0.85,0.7,0.3,0.4,0.9,0.9,0.8
游戏程序员,0.7,0.9,0.5,0.8,0.5,0.3,0.4,0.9,0.9,0.8
嵌入式系统工程师,0.7,0.85,-0.3,0.8,0.5,0.3,0.3,0.9,0.7,0.7
云计算架构师,0.5,0.8,0.4,0.9,0.7,0.7,0.7,0.9,0.8,0.9
机器学习工程师,0.9,0.9,0.4,0.9,0.6,0.4,0.5,0.9,0.8,0.9
人工智能研究员,0.95,0.9,0.6,0.95,0.7,0.5,0.4,0.9,0.8,0.8
自然语言处理(NLP)工程师,0.8,0.9,0.5,0.9,0.6,0.3,0.4,0.85,0.8,0.9
计算机视觉工程师,0.85,0.9,0.5,0.9,0.6,0.3,0.4,0.85,0.8,0.9
数据分析师,0.8,0.7,0.4,0.9,0.8,0.3,0.7,0.8,0.7,0.8
数据科学家,0.9,0.9,0.5,0.95,0.7,0.4,0.6,0.9,0.8,0.9
数据工程师,0.7,0.9,-0.1,0.8,0.6,0.4,0.5,0.9,0.8,0.9
商业智能(BI)分析师,0.7,0.6,0.3,0.85,0.8,0.4,0.8,0.8,0.7,0.8
渗透测试员(道德黑客),0.4,0.85,0.6,0.9,0.5,0.2,0.3,0.95,0.6,0.9
网络安全分析师,0.5,0.8,-0.1,0.9,0.7,0.3,0.5,0.9,0.7,0.9
安全架构师,0.6,0.8,0.2,0.95,0.7,0.6,0.6,0.95,0.8,0.8
数据库管理员(DBA),0.6,0.85,-0.3,0.8,0.5,0.3,0.4,0.9,0.7,0.7
技术项目经理,0.4,0.6,0.4,0.8,0.9,0.9,0.7,0.9,0.95,0.9
科技产品经理,0.4,0.5,0.7,0.8,0.9,0.8,0.9,0.9,0.9,0.9
UI设计师,0.1,0.3,0.95,0.6,0.7,0.2,0.4,0.6,0.8,0.8
UX设计师,0.2,0.4,0.9,0.85,0.8,0.4,0.6,0.8,0.9,0.8
UX研究员,0.3,0.2,0.7,0.9,0.9,0.3,0.5,0.8,0.8,0.8
3D建模师,-0.1,0.5,0.9,0.5,0.5,0.1,0.2,0.6,0.8,0.7
VR/AR开发者,0.5,0.85,0.8,0.7,0.6,0.4,0.5,0.8,0.8,0.9
游戏设计师,0.3,0.5,0.95,0.7,0.7,0.5,0.6,0.8,0.9,0.8
