职业,数学技能,编程能力,创造力,分析能力,沟通能力,领导能力,商业头脑,解决问题,团队协作,适应能力
后端开发工程师,0.6,0.95,-0.1,0.8,0.5,0.4,0.3,0.9,0.8,0.8
前端开发工程师,0.4,0.9,0.7,0.7,0.6,0.3,0.4,0.8,0.9,0.9
移动应用开发者(iOS/Android),0.4,0.9,0.6,0.7,0.6,0.3,0.5,0.85,0.8,0.9
DevOps工程师,0.5,0.8,0.1,0.8,0.7,0.5,0.5,0.95,0.8,0.95
机器学习工程师,0.9,0.9,0.4,0.9,0.6,0.4,0.5,0.9,0.8,0.9
数据科学家,0.9,0.9,0.5,0.95,0.7,0.4,0.6,0.9,0.8,0.9
数据工程师,0.7,0.9,-0.1,0.8,0.6,0.4,0.5,0.9,0.8,0.9
网络安全分析师,0.5,0.8,-0.1,0.9,0.7,0.3,0.5,0.9,0.7,0.9
渗透测试员(道德黑客),0.4,0.85,0.6,0.9,0.5,0.2,0.3,0.95,0.6,0.9
云计算架构师,0.5,0.8,0.4,0.9,0.7,0.7,0.7,0.9,0.8,0.9
科技产品经理,0.4,0.5,0.7,0.8,0.9,0.8,0.9,0.9,0.9,0.9
UI/UX设计师,0.2,0.4,0.9,0.85,0.8,0.4,0.6,0.8,0.9,0.8
3D建模师,-0.1,0.5,0.9,0.5,0.5,0.1,0.2,0.6,0.8,0.7
游戏设计师,0.3,0.5,0.95,0.7,0.7,0.5,0.6,0.8,0.9,0.8
电子商务运营专员,0.4,0.3,0.5,0.7,0.7,0.4,0.8,0.8,0.8,0.9
数字营销经理,0.4,0.3,0.8,0.8,0.8,0.7,0.85,0.8,0.8,0.9
SEO/SEM专家,0.5,0.5,0.6,0.9,0.6,0.3,0.7,0.8,0.6,0.9
供应链分析师,0.7,0.4,-0.1,0.85,0.7,0.4,0.7,0.8,0.8,0.8
管理顾问,0.6,0.3,0.6,0.95,0.9,0.7,0.9,0.9,0.8,0.9
品牌经理,0.3,0.2,0.8,0.8,0.8,0.7,0.9,0.8,0.8,0.8
审计师(公共会计),0.9,0.1,-0.4,0.9,0.6,0.4,0.6,0.7,0.8,0.7
税务顾问,0.9,0.1,-0.2,0.85,0.7,0.3,0.7,0.7,0.6,0.8
管理会计师,0.8,0.3,0.1,0.8,0.7,0.5,0.8,0.8,0.7,0.7
投行分析师,0.9,0.5,-0.2,0.95,0.8,0.5,0.8,0.8,0.9,0.9
金融风险管理师,0.9,0.6,-0.3,0.9,0.7,0.4,0.8,0.8,0.7,0.8
财富管理顾问,0.6,0.2,0.3,0.8,0.9,0.6,0.9,0.7,0.7,0.8
量化分析师(Quant),0.95,0.9,-0.1,0.95,0.5,0.3,0.7,0.9,0.7,0.8
记者/采编,0.1,0.1,0.7,0.7,0.9,0.3,0.3,0.8,0.6,0.9
公关专员,0.1,0.1,0.7,0.7,0.95,0.5,0.7,0.8,0.8,0.9
创意文案(广告),-0.2,-0.3,0.95,0.5,0.8,0.2,0.5,0.6,0.7,0.8
艺术总监(广告),-0.3,-0.2,0.95,0.6,0.8,0.7,0.6,0.7,0.8,0.8
社交媒体经理,0.1,0.1,0.8,0.7,0.8,0.5,0.7,0.7,0.7,0.9
笔译员(中/英),-0.2,-0.3,0.3,0.6,0.7,-0.2,0.2,0.7,0.3,0.8
口译员(中/英),-0.1,-0.2,0.4,0.6,0.95,0.2,0.3,0.8,0.4,0.9
汉语言教师(国际),-0.1,-0.2,0.7,0.5,0.9,0.4,0.2,0.6,0.7,0.8
英语教师(ESL),-0.1,-0.2,0.7,0.5,0.9,0.4,0.2,0.6,0.7,0.8
中医师,0.6,-0.1,0.3,0.8,0.9,0.2,0.5,0.8,0.5,0.8
中医研究员,0.7,0.3,0.2,0.9,0.7,0.4,0.3,0.8,0.8,0.7
电子硬件工程师,0.8,0.7,0.2,0.8,0.6,0.4,0.4,0.9,0.8,0.7
通信工程师,0.8,0.7,-0.1,0.8,0.6,0.4,0.5,0.85,0.8,0.8
工艺工程师(化工),0.9,0.5,-0.4,0.85,0.7,0.5,0.6,0.9,0.8,0.8
安全工程师(化工),0.7,0.3,-0.5,0.8,0.7,0.5,0.6,0.9,0.8,0.8
太阳能工程师,0.8,0.6,0.4,0.8,0.6,0.5,0.6,0.9,0.8,0.8
海洋生物学家,0.7,0.3,0.4,0.85,0.6,0.4,0.2,0.8,0.8,0.8
海洋保育专员,0.5,0.2,0.5,0.7,0.8,0.5,0.4,0.7,0.8,0.8
海道测量师,0.8,0.5,-0.2,0.8,0.6,0.4,0.4,0.8,0.7,0.9
精算师,0.95,0.6,-0.3,0.9,0.7,0.4,0.8,0.8,0.6,0.8
统计师,0.95,0.7,-0.4,0.9,0.7,0.3,0.5,0.8,0.6,0.7
物理学研究员,0.95,0.7,0.3,0.95,0.6,0.4,0.1,0.9,0.8,0.8
材料工程师,0.9,0.5,0.4,0.8,0.6,0.4,0.5,0.8,0.8,0.7
